ID,Place (x),Knowledge (y),Action (z),K5Name
3230,-0.675,0.006,0.481,Ecoscience
3251,-0.383,0.754,0.036,Ecoscience
3255,-0.29,0.273,0.255,Ecoscience
3258,-0.551,0.197,0.094,Ecoscience
3283,-0.314,0.24,0.002,Ecoscience
3297,-0.376,0.409,-0.105,Ecoscience
3304,-0.486,0.019,0.287,Ecoscience
3315,-0.537,0.301,0.053,Ecoscience
3402,-0.683,0.103,-0.188,Ecoscience
3414,-0.329,0.227,0.208,Ecoscience
3439,-0.542,0.68,0.27,Ecoscience
3465,-0.348,0.14,0.202,Ecoscience
3476,-0.375,0.387,0.298,Ecoscience
3538,-0.383,0.254,0.304,Ecoscience
3539,-0.479,0.203,0.066,Ecoscience
3547,-0.544,0.18,0.47,Ecoscience
3557,-0.633,0.002,0.53,Ecoscience
3578,-0.383,0.503,-0.135,Ecoscience
3583,-0.362,0.715,0.15,Ecoscience
3594,-0.318,0.059,0.133,Ecoscience
3595,-0.4,0.201,0.219,Ecoscience
3596,-0.668,0.079,0.182,Ecoscience
3624,-0.506,0.05,0.497,Ecoscience
3632,-0.379,0.142,0.259,Ecoscience
3647,-0.919,0.266,0.027,Ecoscience
3658,-0.407,0.175,0.193,Ecoscience
3662,-0.179,0.248,0.168,Ecoscience
3663,-0.643,0.596,0.441,Ecoscience
3666,-0.483,0.161,0.294,Ecoscience
3674,-0.263,0.36,0.204,Ecoscience
3690,-0.393,0.222,0.259,Ecoscience
3735,-0.594,0.195,0.243,Ecoscience
3738,-0.366,0.044,0.264,Ecoscience
3743,-0.492,0.085,0.3,Ecoscience
3752,-0.576,0.128,0.322,Ecoscience
3766,-0.245,0.291,0.098,Ecoscience
3770,-0.464,0.136,0.078,Ecoscience
3836,-0.386,0.01,0.363,Ecoscience
3986,-0.549,0.205,0.151,Ecoscience
3987,-0.358,0.045,0.161,Ecoscience
4025,-0.242,0.486,-0.116,Ecoscience
4053,-0.463,0.285,0.338,Ecoscience
4062,-0.301,0.186,0.074,Ecoscience
4069,-0.387,0.158,0.131,Ecoscience
4178,-0.728,0.446,0.279,Ecoscience
4210,-0.537,0.218,0.323,Ecoscience
4219,-0.733,0.393,0.209,Ecoscience
4228,-0.774,0.515,0.155,Ecoscience
4250,-0.345,0.248,0.292,Ecoscience
4261,-0.312,0.091,0.114,Ecoscience
4266,-0.663,0.095,0.111,Ecoscience
4300,-0.359,0.062,0.142,Ecoscience
4315,-0.779,0.013,0.301,Ecoscience
4330,-0.71,0.146,0.586,Ecoscience
4339,-0.505,0.149,0.028,Ecoscience
4369,-0.101,0.674,-0.091,Ecoscience
4381,-0.46,0.517,0.267,Ecoscience
4398,-0.556,0.17,0.473,Ecoscience
4421,-0.252,0.189,0.066,Ecoscience
4436,-0.341,0.172,0.197,Ecoscience
4437,-0.275,0.078,0.246,Ecoscience
4456,-0.286,0.183,0.137,Ecoscience
4485,-0.399,0.254,0.384,Ecoscience
4487,-0.351,0.134,0.125,Ecoscience
4494,-0.479,0.117,-0.033,Ecoscience
4506,-0.662,0.129,0.536,Ecoscience
4603,-0.508,0.067,0.245,Ecoscience
4617,-0.53,0.072,0.111,Ecoscience
4666,-0.205,0.574,0.099,Ecoscience
4700,-0.357,0.114,0.128,Ecoscience
4736,-0.42,0.064,0.251,Ecoscience
4739,-0.591,0.113,-0.197,Ecoscience
4746,-0.513,0.059,0.006,Ecoscience
4806,-0.522,0.266,-0.252,Ecoscience
4820,-0.525,0.134,0.186,Ecoscience
4827,-0.292,0.444,0.167,Ecoscience
4873,-0.198,0.486,0.165,Ecoscience
4931,-0.299,0.028,0.273,Ecoscience
4943,-0.252,0.297,0.099,Ecoscience
4955,-0.275,0.089,0.178,Ecoscience
4997,-0.275,0.173,0.209,Ecoscience
5006,-0.335,0.107,0.091,Ecoscience